file,line,kind,literal,classification,context
/home/user/MediaHub/src/mediahub/web/web.py,1274,hex6,#8ab4ff,unclassified,"        a.style.color = 'var(--lane,var(--accent,#8ab4ff))'; a.style.wordBreak = 'break-all';"
/home/user/MediaHub/src/mediahub/web/web.py,1279,hex6,#5EE39A,unclassified,"          b.style.cssText = 'margin-left:8px;font-size:11px;padding:1px 7px;border-radius:999px;background:rgba(94,227,1"
/home/user/MediaHub/src/mediahub/web/web.py,1932,hex6,#10141d,inline_html_style,"       style=""background:var(--panel,#10141d);border:1px solid var(--border,#252a36);"
/home/user/MediaHub/src/mediahub/web/web.py,1932,hex6,#252a36,inline_html_style,"       style=""background:var(--panel,#10141d);border:1px solid var(--border,#252a36);"
/home/user/MediaHub/src/mediahub/web/web.py,1934,hex6,#e9eef5,unclassified,"              overflow:auto;padding:22px;color:var(--ink,#e9eef5)"">"
/home/user/MediaHub/src/mediahub/web/web.py,1944,hex6,#252a36,unclassified,"           max-height:180px;overflow:auto;border:1px solid var(--border,#252a36);"
/home/user/MediaHub/src/mediahub/web/web.py,1952,hex6,#252a36,inline_html_style,"        style=""width:100%;padding:8px;border:1px solid var(--border,#252a36);"
/home/user/MediaHub/src/mediahub/web/web.py,1961,hex6,#252a36,inline_html_style,"             style=""padding:8px;border:1px solid var(--border,#252a36);border-radius:8px;"
/home/user/MediaHub/src/mediahub/web/web.py,2147,hex6,#252a36,inline_html_style,"          +     'style=""padding:8px;border:1px solid var(--border,#252a36);'"
/home/user/MediaHub/src/mediahub/web/web.py,2154,hex6,#252a36,inline_html_style,"          + '<div style=""border-top:1px solid var(--border,#252a36);padding-top:10px;margin-top:10px"">'"
/home/user/MediaHub/src/mediahub/web/web.py,2155,hex6,#7a8597,inline_html_style,"          +   '<div style=""font-size:12px;color:var(--muted,#7a8597);margin-bottom:6px"">No Buffer? Download the post for"
/home/user/MediaHub/src/mediahub/web/web.py,2415,hex6,#ff5d6c,unclassified,        document.querySelectorAll('.ai-status-dot').forEach(function(d){ d.style.background='#ff5d6c'; });
/home/user/MediaHub/src/mediahub/web/web.py,3009,hex6,#0a0a0a,inline_html_style,"        '<img src=""' + imgUrl + '"" alt=""Variant ' + vt.seed + '"" style=""width:100%;border-radius:6px;background:#0a0a0a;"
/home/user/MediaHub/src/mediahub/web/web.py,3058,hex6,#2cc97f,unclassified,          var color = j.live ? '#2cc97f' : '#ff5d6c';
/home/user/MediaHub/src/mediahub/web/web.py,3058,hex6,#ff5d6c,unclassified,          var color = j.live ? '#2cc97f' : '#ff5d6c';
/home/user/MediaHub/src/mediahub/web/web.py,3162,hex6,#ffae3b,unclassified,"            'border-radius:50%;background:#ffae3b"" aria-hidden=""true""></span>'"
/home/user/MediaHub/src/mediahub/web/web.py,3887,hex6,#0A0B11,token_definition,  --bg:        var(--mh-surface);             /* #0A0B11 — pit-wall black */
/home/user/MediaHub/src/mediahub/web/web.py,3888,hex6,#06070C,token_definition,  --bg-deep:   var(--mh-surface-deep);        /* #06070C */
