file,line,kind,literal,classification,context
/home/user/MediaHub/src/mediahub/web/web.py,1033,hex6,#10141d,inline_html_style,"       style=""background:var(--panel,#10141d);border:1px solid var(--border,#252a36);"
/home/user/MediaHub/src/mediahub/web/web.py,1033,hex6,#252a36,inline_html_style,"       style=""background:var(--panel,#10141d);border:1px solid var(--border,#252a36);"
/home/user/MediaHub/src/mediahub/web/web.py,1035,hex6,#e9eef5,unclassified,"              overflow:auto;padding:22px;color:var(--ink,#e9eef5)"">"
/home/user/MediaHub/src/mediahub/web/web.py,1045,hex6,#252a36,unclassified,"           max-height:180px;overflow:auto;border:1px solid var(--border,#252a36);"
/home/user/MediaHub/src/mediahub/web/web.py,1053,hex6,#252a36,inline_html_style,"        style=""width:100%;padding:8px;border:1px solid var(--border,#252a36);"
/home/user/MediaHub/src/mediahub/web/web.py,1062,hex6,#252a36,inline_html_style,"             style=""padding:8px;border:1px solid var(--border,#252a36);border-radius:8px;"
/home/user/MediaHub/src/mediahub/web/web.py,1170,hex6,#252a36,inline_html_style,"          +     'style=""padding:8px;border:1px solid var(--border,#252a36);'"
/home/user/MediaHub/src/mediahub/web/web.py,1177,hex6,#252a36,inline_html_style,"          + '<div style=""border-top:1px solid var(--border,#252a36);padding-top:10px;margin-top:10px"">'"
/home/user/MediaHub/src/mediahub/web/web.py,1178,hex6,#7a8597,inline_html_style,"          +   '<div style=""font-size:12px;color:var(--muted,#7a8597);margin-bottom:6px"">No Buffer? Download the post for"
/home/user/MediaHub/src/mediahub/web/web.py,1491,hex6,#0A0B11,token_definition,  --bg:        var(--mh-surface);             /* #0A0B11 — pit-wall black */
/home/user/MediaHub/src/mediahub/web/web.py,1492,hex6,#06070C,token_definition,  --bg-deep:   var(--mh-surface-deep);        /* #06070C */
/home/user/MediaHub/src/mediahub/web/web.py,1493,hex6,#14171F,token_definition,  --surface:   var(--mh-surface-variant);     /* #14171F — card / panel base */
/home/user/MediaHub/src/mediahub/web/web.py,1494,hex6,#1A1E28,token_definition,  --surface-2: var(--mh-surface-container);   /* #1A1E28 — raised */
/home/user/MediaHub/src/mediahub/web/web.py,1495,hex6,#232838,token_definition,  --surface-3: var(--mh-surface-container-high); /* #232838 — hover */
/home/user/MediaHub/src/mediahub/web/web.py,1501,hex6,#7A7869,unclassified,     --ink-muted raised from #7A7869 (4.41:1) to #9A988A (5.69:1 on bg)
/home/user/MediaHub/src/mediahub/web/web.py,1501,hex6,#9A988A,unclassified,     --ink-muted raised from #7A7869 (4.41:1) to #9A988A (5.69:1 on bg)
/home/user/MediaHub/src/mediahub/web/web.py,1504,hex6,#F5F2E8,token_definition,  --ink:       var(--mh-on-surface);          /* #F5F2E8 — primary text */
/home/user/MediaHub/src/mediahub/web/web.py,1505,hex6,#B6B2A6,token_definition,  --ink-dim:   var(--mh-on-surface-variant);  /* #B6B2A6 — 9.27:1 safe */
/home/user/MediaHub/src/mediahub/web/web.py,1506,hex6,#9A988A,token_definition,  --ink-muted: var(--mh-on-surface-muted);    /* #9A988A — 5.69:1 AA */
/home/user/MediaHub/src/mediahub/web/web.py,1507,hex6,#62604F,token_definition,  --ink-faint: var(--mh-on-surface-faint);    /* #62604F — large/decorative */
